step;tempo;distancia;E;K;U;T;raio;virial
33500;335;318.288;1105.94;1107.38;-143.699;738.252;800.499;2213.32
33600;336;319.263;1105.93;1106.96;-103.058;737.975;802.876;2212.89
33700;337;320.214;1105.95;1109.31;-3.359;739.538;805.253;2215.26
33800;338;321.056;1105.93;1106.96;-102.121;73.797;807.631;2212.89
33900;339;322.031;1105.92;1107.44;-151.745;738.294;810.008;2213.36
34000;340;323.035;1105.94;1107.17;-123.473;738.115;812.385;2213.11
34100;341;323.972;1105.93;1107.01;-108.197;738.009;814.762;2212.94
34200;342;324.912;1105.96;1108.31;-234.543;738.873;817.139;2214.27
34300;343;325.787;1105.93;1106.94;-10.036;737.958;819.516;2212.87
34400;344;326.812;1105.91;1107.89;-198.015;738.595;821.893;2213.8
34500;345;327.802;1105.94;1107.05;-111.768;738.036;824.271;2212.99
34600;346;328.707;1105.93;1107.1;-11.727;738.068;826.648;2213.03
34700;347;329.645;1105.95;1107.64;-168.924;738.424;829.025;2213.58
34800;348;330.565;1105.93;1106.94;-100.926;737.961;831.402;2212.87
34900;349;331.643;1105.9;1108.83;-293.215;739.219;833.779;2214.72
35000;350;332.567;1105.93;1106.98;-104.901;737.989;836.156;2212.92
35100;351;333.485;1105.93;1107.25;-132.774;738.169;838.533;2213.18
35200;352;334.434;1105.94;1107.31;-137.049;738.207;840.91;2213.25
35300;353;335.407;1105.93;1106.97;-103.928;737.981;843.287;2212.9
35400;354;336.514;1105.97;1109.12;-315.448;739.415;845.664;2215.09
35500;355;337.369;1105.93;1106.95;-101.255;737.964;848.041;2212.88
35600;356;338.254;1105.92;1107.53;-160.684;738.352;850.418;2213.45
35700;357;339.159;1105.94;1107.13;-119.623;738.089;852.796;2213.07
35800;358;340.131;1105.93;1107.03;-109.956;73.802;855.173;2212.96
35900;359;341.131;1105.96;1108.08;-212.062;738.719;857.55;2214.04
36000;360;341.954;1105.93;1106.93;-10.012;737.956;859.927;2212.87
36100;361;342.906;1105.91;1108.08;-216.958;738.718;862.304;2213.98
36200;362;343.835;1105.94;1107.03;-109.427;73.802;864.681;2212.97
36300;363;344.848;1105.93;1107.13;-12.039;738.088;867.058;2213.06
36400;364;345.777;1105.94;1107.53;-15.828;738.352;869.435;2213.47
36500;365;346.634;1105.93;1106.95;-1.013;737.963;871.812;2212.88
36600;366;347.632;1105.9;1109.12;-321.443;739.412;874.189;2215.02
36700;367;348.577;1105.93;1106.97;-103.516;73.798;876.566;2212.9
36800;368;349.576;1105.93;1107.31;-138.335;738.206;878.943;2213.23
36900;369;350.466;1105.94;1107.25;-131.349;738.169;881.32;2213.19
37000;370;351.362;1105.93;1106.98;-105.019;737.988;883.697;2212.91
37100;371;352.391;1105.97;1108.83;-285.669;739.219;886.074;2214.8
37200;372;353.356;1105.93;1106.94;-100.576;73.796;888.451;2212.87
37300;373;354.312;1105.92;1107.63;-171.455;738.422;890.828;2213.55
37400;374;355.198;1105.94;1107.1;-116.265;738.066;893.205;2213.04
37500;375;356.137;1105.93;1107.05;-112.024;738.034;895.582;2212.98
37600;376;357.184;1105.95;1107.89;-193.683;738.594;897.959;2213.84
37700;377;358.143;1105.93;1106.93;-100.052;737.956;900.336;2212.87
37800;378;359.089;1105.9;1108.3;-240.154;738.869;902.713;2214.21
37900;379;359.983;1105.94;1107.01;-107.388;738.006;905.089;2212.94
38000;380;360.973;1105.93;1107.17;-124.019;738.112;907.466;2213.1
38100;381;362.036;1105.94;1107.44;-14.937;738.291;909.843;2213.38
38200;382;362.966;1105.93;1106.95;-101.862;737.967;912.22;2212.88
38300;383;363.873;1105.93;1109.3;-337.617;739.535;914.597;2215.23
38400;384;364.724;1105.93;1106.96;-102.346;737.972;916.974;2212.89
38500;385;365.709;1105.92;1107.37;-144.889;738.249;919.351;2213.3
38600;386;366.694;1105.94;1107.2;-126.433;738.135;921.728;2213.14
38700;387;367.542;1105.93;1106.99;-106.344;737.996;924.105;2212.93
38800;388;368.495;1105.97;1108.53;-25.574;739.017;926.482;2214.49
38900;389;369.393;1105.93;1106.93;-100.074;737.956;928.859;2212.87
39000;390;370.429;1105.92;1107.76;-184.545;738.507;931.236;2213.68
39100;391;371.345;1105.94;1107.07;-113.332;738.046;933.613;2213.01
39200;392;372.218;1105.93;1107.07;-114.439;738.049;935.989;2213
39300;393;373.188;1105.95;1107.74;-178.668;738.491;938.366;2213.69
39400;394;374.128;1105.93;1106.93;-100.156;737.956;940.743;2212.87
39500;395;375.184;1105.9;1108.58;-267.783;73.905;943.12;2214.47
39600;396;376.031;1105.93;1106.99;-10.562;737.994;945.497;2212.93
39700;397;376.945;1105.93;1107.21;-128.243;73.814;947.874;2213.14
39800;398;377.928;1105.94;1107.36;-14.184;73.824;950.251;2213.3
39900;399;378.907;1105.93;1106.96;-102.617;737.972;952.628;2212.89
40000;400;379.927;1105.95;1109.28;-332.862;739.521;955.004;2215.23
40100;401;380.759;1105.93;1106.95;-101.376;737.965;957.381;2212.88
40200;402;381.719;1105.92;1107.45;-152.661;738.299;959.758;2213.37
40300;403;382.713;1105.94;1107.16;-122.172;738.106;962.135;2213.1
40400;404;383.714;1105.93;1107.01;-107.925;738.007;964.512;2212.94
40500;405;384.673;1105.96;1108.26;-229.611;738.839;966.889;2214.22
40600;406;385.54;1105.93;1106.93;-0.997436;737.954;969.265;2212.86
40700;407;386.553;1105.91;1107.92;-200.576;738.611;971.642;2213.83
40800;408;387.559;1105.94;1107.04;-110.769;738.029;974.019;2212.98
40900;409;388.549;1105.93;1107.1;-117.244;738.068;976.396;2213.03
41000;410;389.444;1105.95;1107.61;-166.316;738.407;978.773;2213.56
41100;411;390.296;1105.93;1106.94;-100.433;737.958;981.15;2212.87
41200;412;391.305;1105.9;1108.88;-298.114;739.252;983.526;2214.77
41300;413;392.251;1105.93;1106.98;-104.095;737.984;985.903;2212.91
41400;414;393.142;1105.93;1107.26;-13.317;738.172;988.28;2213.18
41500;415;394.045;1105.94;1107.29;-135.426;738.196;990.657;2213.23
41600;416;394.959;1105.93;1106.97;-103.575;737.978;993.034;2212.9
41700;417;396.011;1105.97;1109.07;-309.924;739.379;995.41;2215.04
41800;418;396.922;1105.93;1106.94;-100.593;73.796;997.787;2212.87
41900;419;397.814;1105.92;1107.54;-161.947;73.836;1000.16;2213.46
42000;420;398.734;1105.94;1107.12;-118.464;738.081;1002.54;2213.06
42100;421;399.691;1105.93;1107.03;-109.785;738.019;1004.92;2212.96
42200;422;400.748;1105.96;1108.04;-207.962;738.691;1007.29;2213.99
42300;423;401.607;1105.93;1106.93;-0.995817;737.953;1009.67;2212.86
42400;424;402.541;1105.91;1108.11;-220.283;73.874;1012.05;2214.02
42500;425;403.471;1105.94;1107.02;-108.531;738.014;1014.42;2212.96
42600;426;404.466;1105.93;1107.13;-120.496;738.089;1016.8;2213.06
42700;427;405.488;1105.94;1107.51;-15.606;738.337;1019.18;2213.45
42800;428;406.329;1105.93;1106.94;-100.886;737.961;1021.55;2212.87
42900;429;407.316;1105.91;1109.16;-325.083;739.438;1023.93;2215.06
43000;430;408.253;1105.93;1106.96;-102.795;737.975;1026.31;2212.9
43100;431;409.28;1105.93;1107.31;-13.894;73.821;1028.69;2213.24
43200;432;410.228;1105.94;1107.24;-129.922;738.159;1031.06;2213.18
43300;433;411.104;1105.93;1106.98;-10.475;737.986;1033.44;2212.91
43400;434;412.131;1105.97;1108.77;-279.639;739.179;1035.82;2214.74
43500;435;413.092;1105.93;1106.93;-0.999886;737.956;1038.19;2212.87
43600;436;414.136;1105.92;1107.65;-173.138;738.433;1040.57;2213.57
43700;437;415.016;1105.94;1107.09;-115.229;738.059;1042.95;2213.03
43800;438;415.876;1105.93;1107.05;-111.955;738.033;1045.32;2212.98
43900;439;416.868;1105.95;1107.86;-190.285;738.571;1047.7;2213.81
44000;440;417.803;1105.93;1106.93;-0.995862;737.952;1050.08;2212.86
44100;441;418.761;1105.9;1108.34;-244.333;738.896;1052.45;2214.25
44200;442;419.602;1105.94;1107;-106.584;738.001;1054.83;2212.94
44300;443;420.534;1105.93;1107.17;-124.266;738.114;1057.21;2213.1
44400;444;421.546;1105.94;1107.42;-147.461;738.278;1059.58;2213.36
44500;445;422.495;1105.93;1106.95;-101.522;737.965;1061.96;2212.88
44600;446;423.427;1105.93;1109.31;-337.952;73.954;1064.34;2215.24
44700;447;424.287;1105.93;1106.95;-101.701;737.967;1066.71;2212.89
44800;448;425.265;1105.92;1107.38;-145.733;738.254;1069.09;2213.31
44900;449;426.277;1105.94;1107.19;-12.517;738.127;1071.47;2213.13
45000;450;427.193;1105.93;1106.99;-106.159;737.995;1073.84;2212.92
45100;451;428.13;1105.97;1108.47;-250.271;73.898;1076.22;2214.44
45200;452;429.022;1105.93;1106.93;-0.995558;737.953;1078.6;2212.86
45300;453;430.041;1105.91;1107.78;-186.744;738.521;1080.97;2213.7
45400;454;431.034;1105.94;1107.06;-112.404;73.804;1083.35;2213
45500;455;431.909;1105.93;1107.07;-114.473;73.805;1085.73;2213
45600;456;432.871;1105.95;1107.71;-175.834;738.472;1088.1;2213.66
45700;457;433.802;1105.93;1106.93;-0.997576;737.953;1090.48;2212.86
45800;458;434.858;1105.9;1108.62;-272.702;739.082;1092.86;2214.52
45900;459;435.792;1105.93;1106.98;-104.897;737.989;1095.23;2212.92
46000;460;436.678;1105.93;1107.21;-128.643;738.142;1097.61;2213.14
46100;461;437.664;1105.94;1107.34;-140.185;738.229;1099.99;2213.28
46200;462;438.636;1105.93;1106.96;-102.348;73.797;1102.36;2212.89
46300;463;439.72;1105.96;1109.25;-329.378;73.95;1104.74;2215.21
46400;464;440.595;1105.93;1106.94;-1.008;737.961;1107.12;2212.88
46500;465;441.468;1105.92;1107.46;-153.788;738.307;1109.49;2213.38
46600;466;442.413;1105.94;1107.15;-121.049;738.099;1111.87;2213.09
46700;467;443.363;1105.93;1107.01;-107.821;738.006;1114.25;2212.94
46800;468;444.364;1105.96;1108.21;-224.985;738.808;1116.62;2214.17
46900;469;445.168;1105.93;1106.93;-0.992898;737.951;1119;2212.86
47000;470;446.122;1105.91;1107.94;-203.413;73.863;1121.38;2213.86
47100;471;447.085;1105.94;1107.04;-109.935;738.023;1123.75;2212.97
47200;472;448.061;1105.93;1107.1;-117.386;738.069;1126.13;2213.03
47300;473;448.999;1105.95;1107.59;-163.929;738.391;1128.51;2213.53
47400;474;449.847;1105.93;1106.93;-100.098;737.956;1130.88;2212.87
47500;475;450.857;1105.9;1108.93;-303.072;739.285;1133.26;2214.83
47600;476;451.815;1105.93;1106.97;-103.446;737.979;1135.64;2212.9
47700;477;452.784;1105.93;1107.26;-133.742;738.176;1138.01;2213.19
47800;478;453.679;1105.94;1107.28;-133.979;738.187;1140.39;2213.22
47900;479;454.58;1105.93;1106.97;-103.375;737.977;1142.77;2212.9
48000;480;455.627;1105.97;1109.01;-304.319;739.342;1145.14;2214.98
48100;481;456.575;1105.93;1106.93;-10.008;737.956;1147.52;2212.87
48200;482;457.507;1105.92;1107.55;-163.415;738.369;1149.89;2213.47
48300;483;458.412;1105.94;1107.11;-117.463;738.074;1152.27;2213.05
48400;484;459.358;1105.93;1107.03;-109.765;738.019;1154.65;2212.96
48500;485;460.416;1105.96;1108;-204.131;738.665;1157.02;2213.95
48600;486;461.354;1105.93;1106.92;-0.991877;73.795;1159.4;2212.86
48700;487;462.27;1105.91;1108.14;-223.888;738.763;1161.78;2214.05
48800;488;463.201;1105.94;1107.01;-107.782;738.009;1164.15;2212.95
48900;489;464.189;1105.93;1107.14;-120.755;738.091;1166.53;2213.06
49000;490;465.25;1105.94;1107.48;-154.028;738.323;1168.91;2213.43
49100;491;466.162;1105.93;1106.94;-100.613;737.959;1171.28;2212.87
49200;492;467.081;1105.91;1109.19;-328.394;739.463;1173.66;2215.1
49300;493;467.965;1105.93;1106.96;-102.212;737.971;1176.04;2212.89
49400;494;468.934;1105.92;1107.32;-139.709;738.215;1178.41;2213.25
49500;495;469.918;1105.94;1107.23;-128.649;73.815;1180.79;2213.16
49600;496;470.743;1105.93;1106.98;-104.619;737.985;1183.17;2212.91
49700;497;471.715;1105.97;1108.71;-273.783;73.914;1185.54;2214.68
49800;498;472.632;1105.93;1106.93;-0.995351;737.953;1187.92;2212.86
49900;499;473.635;1105.92;1107.67;-175.025;738.445;1190.3;2213.58
50000;500;474.566;1105.94;1107.08;-114.333;738.053;1192.67;2213.02
50100;501;475.415;1105.93;1107.05;-112.021;738.033;1195.05;2212.98
50200;502;476.419;1105.95;1107.82;-187.116;738.549;1197.43;2213.78
50300;503;477.36;1105.93;1106.93;-0.992489;73.795;1199.8;2212.86
50400;504;478.377;1105.9;1108.39;-248.781;738.925;1202.18;2214.29
50500;505;479.237;1105.94;1106.99;-10.591;737.996;1204.56;2212.93
50600;506;480.146;1105.93;1107.17;-124.653;738.116;1206.93;2213.1
50700;507;481.164;1105.94;1107.4;-145.715;738.266;1209.31;2213.34
50800;508;482.122;1105.93;1106.95;-101.307;737.963;1211.69;2212.88
50900;509;483.125;1105.94;1109.31;-337.673;739.542;1214.06;2215.25
51000;510;483.96;1105.93;1106.95;-101.179;737.964;1216.44;2212.88
51100;511;484.924;1105.92;1107.39;-146.735;738.261;1218.81;2213.31
51200;512;485.945;1105.94;1107.18;-124.044;738.119;1221.19;2213.12
51300;513;486.909;1105.93;1106.99;-106.096;737.995;1223.57;2212.92
51400;514;487.867;1105.97;1108.42;-245.055;738.945;1225.94;2214.38
51500;515;488.743;1105.93;1106.92;-0.991573;73.795;1228.32;2212.86
51600;516;489.757;1105.91;1107.81;-189.154;738.537;1230.7;2213.72
51700;517;490.774;1105.94;1107.05;-111.599;738.035;1233.07;2212.99
51800;518;491.733;1105.93;1107.08;-114.631;738.051;1235.45;2213.01
51900;519;492.66;1105.95;1107.68;-173.192;738.454;1237.83;2213.63
52000;520;493.523;1105.93;1106.93;-0.994745;737.952;1240.2;2212.86
52100;521;494.525;1105.9;1108.67;-277.808;739.116;1242.58;2214.57
52200;522;495.466;1105.93;1106.98;-10.429;737.985;1244.96;2212.91
52300;523;496.335;1105.93;1107.22;-129.174;738.146;1247.33;2213.15
52400;524;497.26;1105.94;1107.33;-138.671;738.218;1249.71;2213.27
52500;525;498.185;1105.93;1106.95;-102.192;737.969;1252.09;2212.89
52600;526;499.227;1105.96;1109.22;-325.451;739.477;1254.46;2215.18
52700;527;500.131;1105.93;1106.94;-100.335;737.958;1256.84;2212.87
52800;528;500.996;1105.92;1107.47;-15.507;738.315;1259.22;2213.39
52900;529;501.957;1105.94;1107.14;-120.048;738.092;1261.59;2213.08
53000;530;502.913;1105.93;1107.01;-10.783;738.006;1263.97;2212.94
53100;531;503.954;1105.96;1108.17;-220.606;738.778;1266.34;2214.13
53200;532;504.808;1105.93;1106.92;-0.989432;737.948;1268.72;2212.86
53300;533;505.725;1105.91;1107.97;-206.474;73.865;1271.1;2213.88
53400;534;506.7;1105.94;1107.03;-109.213;738.019;1273.47;2212.96
53500;535;507.675;1105.93;1107.11;-117.643;73.807;1275.85;2213.03
53600;536;508.689;1105.95;1107.56;-161.705;738.375;1278.23;2213.51
53700;537;509.517;1105.93;1106.93;-0.998676;737.954;1280.6;2212.86
53800;538;510.509;1105.9;1108.98;-307.979;739.319;1282.98;2214.88
53900;539;511.479;1105.93;1106.96;-102.901;737.976;1285.36;2212.9
54000;540;512.468;1105.93;1107.27;-134.438;73.818;1287.73;2213.2
54100;541;513.428;1105.94;1107.27;-132.657;738.178;1290.11;2213.21
54200;542;514.291;1105.93;1106.96;-103.278;737.976;1292.49;2212.9
54300;543;515.339;1105.97;1108.96;-298.646;739.305;1294.86;2214.93
54400;544;516.305;1105.93;1106.93;-0.996682;737.954;1297.24;2212.86
54500;545;517.303;1105.92;1107.57;-16.504;73.838;1299.62;2213.49
54600;546;518.224;1105.94;1107.1;-116.569;738.068;1301.99;2213.04
54700;547;519.088;1105.93;1107.03;-109.848;738.019;1304.37;2212.96
54800;548;520.101;1105.96;1107.96;-200.517;738.641;1306.74;2213.92
54900;549;521.016;1105.93;1106.92;-0.988907;737.948;1309.12;2212.85
55000;550;521.946;1105.9;1108.18;-227.729;738.788;1311.5;2214.09
55100;551;522.805;1105.94;1107.01;-107.132;738.004;1313.87;2212.94
55200;552;523.745;1105.93;1107.14;-121.121;738.093;1316.25;2213.07
55300;553;524.773;1105.94;1107.47;-152.137;73.831;1318.63;2213.41
55400;554;525.689;1105.93;1106.94;-100.433;737.958;1321;2212.87
55500;555;526.604;1105.91;1109.23;-331.262;739.484;1323.38;2215.14
55600;556;527.497;1105.93;1106.95;-101.724;737.968;1325.76;2212.89
55700;557;528.474;1105.92;1107.33;-1.406;738.221;1328.13;2213.26
55800;558;529.49;1105.94;1107.21;-127.486;738.143;1330.51;2213.15
55900;559;530.384;1105.93;1106.98;-104.582;737.985;1332.88;2212.91
56000;560;531.315;1105.97;1108.65;-268.083;739.101;1335.26;2214.62
56100;561;532.238;1105.93;1106.93;-0.991721;73.795;1337.64;2212.86
56200;562;533.242;1105.92;1107.69;-177.078;738.458;1340.01;2213.6
56300;563;534.229;1105.94;1107.07;-113.534;738.048;1342.39;2213.01
56400;564;535.089;1105.93;1107.05;-112.183;738.034;1344.77;2212.98
56500;565;536.069;1105.95;1107.79;-184.129;738.529;1347.14;2213.74
56600;566;537.018;1105.93;1106.92;-0.989995;737.948;1349.52;2212.86
56700;567;538.042;1105.9;1108.43;-25.345;738.956;1351.9;2214.33
56800;568;538.983;1105.94;1106.99;-105.325;737.992;1354.27;2212.92
56900;569;539.848;1105.93;1107.18;-125.141;738.119;1356.65;2213.11
57000;570;540.872;1105.94;1107.38;-14.409;738.255;1359.03;2213.33
57100;571;541.842;1105.93;1106.94;-101.179;737.962;1361.4;2212.88
57200;572;542.888;1105.94;1109.31;-33.674;739.539;1363.78;2215.25
57300;573;543.775;1105.93;1106.94;-100.744;737.961;1366.15;2212.88
57400;574;544.662;1105.92;1107.4;-147.858;738.268;1368.53;2213.33
57500;575;545.643;1105.94;1107.17;-123.016;738.112;1370.91;2213.11
57600;576;546.571;1105.93;1106.99;-106.121;737.995;1373.28;2212.92
57700;577;547.552;1105.97;1108.37;-240.061;738.911;1375.66;2214.33
57800;578;548.357;1105.93;1106.92;-0.988411;737.948;1378.04;2212.85
57900;579;549.316;1105.91;1107.83;-191.744;738.554;1380.41;2213.74
58000;580;550.309;1105.94;1107.04;-110.883;73.803;1382.79;2212.98
58100;581;551.247;1105.93;1107.08;-114.878;738.052;1385.17;2213.01
58200;582;552.191;1105.95;1107.66;-170.704;738.437;1387.54;2213.6
58300;583;553.04;1105.93;1106.93;-0.992716;73.795;1389.92;2212.86
58400;584;554.054;1105.9;1108.73;-28.304;739.151;1392.29;2214.62
58500;585;555.027;1105.93;1106.97;-103.765;737.982;1394.67;2212.91
58600;586;555.956;1105.93;1107.22;-129.803;73.815;1397.05;2213.15
58700;587;556.864;1105.94;1107.31;-137.264;738.209;1399.42;2213.25
58800;588;557.78;1105.93;1106.95;-102.115;737.969;1401.8;2212.88
58900;589;558.828;1105.96;1109.17;-321.118;73.945;1404.18;2215.14
59000;590;559.769;1105.93;1106.93;-0.999475;737.956;1406.55;2212.87
59100;591;560.676;1105.92;1107.49;-156.475;738.324;1408.93;2213.41
59200;592;561.601;1105.94;1107.13;-119.135;738.086;1411.31;2213.07
59300;593;562.56;1105.93;1107.01;-107.919;738.006;1413.68;2212.94
59400;594;563.615;1105.96;1108.12;-21.644;73.875;1416.06;2214.08
59500;595;564.531;1105.93;1106.92;-0.986717;737.947;1418.43;2212.85
59600;596;565.425;1105.91;1108.01;-209.731;738.671;1420.81;2213.91
59700;597;566.397;1105.94;1107.02;-108.569;738.014;1423.19;2212.96
59800;598;567.384;1105.93;1107.11;-117.984;738.072;1425.56;2213.04
59900;599;568.433;1105.95;1107.54;-159.611;738.361;1427.94;2213.49
60000;600;569.331;1105.93;1106.93;-0.997104;737.953;1430.32;2212.86
60100;601;570.258;1105.9;1109.03;-312.744;739.352;1432.69;2214.93
60200;602;571.185;1105.93;1106.96;-102.431;737.973;1435.07;2212.89
60300;603;572.134;1105.93;1107.28;-13.523;738.185;1437.45;2213.2
60400;604;573.106;1105.94;1107.25;-131.428;738.169;1439.82;2213.19
60500;605;573.923;1105.93;1106.96;-103.254;737.976;1442.2;2212.9
60600;606;574.903;1105.97;1108.9;-292.934;739.268;1444.57;2214.87
60700;607;575.848;1105.93;1106.93;-0.993267;737.951;1446.95;2212.86
60800;608;576.814;1105.92;1107.59;-166.796;738.391;1449.33;2213.51
60900;609;577.751;1105.94;1107.09;-115.755;738.063;1451.7;2213.03
61000;610;578.588;1105.93;1107.03;-110.005;73.802;1454.08;2212.96
61100;611;579.622;1105.95;1107.93;-197.086;738.617;1456.46;2213.88
61200;612;580.566;1105.93;1106.92;-0.986624;737.946;1458.83;2212.85
61300;613;581.535;1105.9;1108.22;-231.779;738.814;1461.21;2214.12
61400;614;582.419;1105.94;1107;-106.554;738.001;1463.58;2212.94
61500;615;583.324;1105.93;1107.14;-121.567;738.096;1465.96;2213.07
61600;616;584.371;1105.94;1107.45;-150.356;738.298;1468.34;2213.39
61700;617;585.31;1105.93;1106.94;-100.322;737.957;1470.71;2212.87
61800;618;586.279;1105.92;1109.25;-333.594;739.503;1473.09;2215.17
61900;619;587.134;1105.93;1106.95;-101.304;737.965;1475.47;2212.88
62000;620;588.107;1105.92;1107.34;-141.586;738.227;1477.84;2213.26
62100;621;589.147;1105.94;1107.2;-126.406;738.135;1480.22;2213.14
62200;622;590.077;1105.93;1106.98;-104.612;737.985;1482.6;2212.91
62300;623;591.03;1105.97;1108.6;-262.538;739.064;1484.97;2214.57
62400;624;591.922;1105.93;1106.92;-0.988741;737.948;1487.35;2212.86
62500;625;592.936;1105.92;1107.71;-179.275;738.473;1489.72;2213.63
62600;626;593.96;1105.94;1107.06;-112.806;738.043;1492.1;2213
62700;627;594.883;1105.93;1107.05;-112.415;738.036;1494.48;2212.98
62800;628;595.841;1105.95;1107.76;-181.296;738.509;1496.85;2213.71
62900;629;596.729;1105.93;1106.92;-0.988135;737.947;1499.23;2212.85
63000;630;597.712;1105.9;1108.48;-25.831;738.988;1501.61;2214.38
63100;631;598.652;1105.93;1106.98;-104.806;737.989;1503.98;2212.92
63200;632;599.503;1105.93;1107.18;-125.708;738.123;1506.36;2213.11
63300;633;600.444;1105.94;1107.37;-142.562;738.245;1508.73;2213.31
63400;634;601.387;1105.93;1106.94;-101.114;737.962;1511.11;2212.87
63500;635;602.403;1105.95;1109.3;-335.144;739.531;1513.49;2215.24
63600;636;603.302;1105.93;1106.94;-10.037;737.958;1515.86;2212.87
63700;637;604.151;1105.92;1107.41;-14.908;738.276;1518.24;2213.34
63800;638;605.151;1105.94;1107.16;-122.062;738.106;1520.62;2213.1
63900;639;606.107;1105.93;1106.99;-106.208;737.995;1522.99;2212.92
64000;640;607.122;1105.96;1108.32;-235.267;738.878;1525.37;2214.28
64100;641;607.98;1105.93;1106.92;-0.985846;737.946;1527.74;2212.85
64200;642;608.878;1105.91;1107.86;-194.495;738.572;1530.12;2213.77
64300;643;609.899;1105.94;1107.04;-110.231;738.025;1532.5;2212.97
64400;644;610.854;1105.93;1107.08;-115.192;738.054;1534.87;2213.01
64500;645;611.848;1105.95;1107.63;-168.344;738.421;1537.25;2213.58
64600;646;612.681;1105.93;1106.92;-0.991272;737.949;1539.63;2212.86
64700;647;613.67;1105.9;1108.78;-288.344;739.186;1542;2214.68
64800;648;614.674;1105.93;1106.97;-1.033;737.978;1544.38;2212.9
64900;649;615.625;1105.93;1107.23;-130.508;738.154;1546.75;2213.16
65000;650;616.588;1105.94;1107.3;-13.594;73.82;1549.13;2213.24
65100;651;617.449;1105.93;1106.95;-102.097;737.968;1551.51;2212.88
65200;652;618.509;1105.97;1109.13;-316.429;73.942;1553.88;2215.1
65300;653;619.486;1105.93;1106.93;-0.996172;737.953;1556.26;2212.86
65400;654;620.438;1105.92;1107.5;-157.987;738.334;1558.64;2213.42
65500;655;621.38;1105.94;1107.12;-118.288;73.808;1561.01;2213.06
65600;656;622.273;1105.93;1107.01;-108.067;738.007;1563.39;2212.94
65700;657;623.294;1105.96;1108.08;-212.464;738.722;1565.76;2214.04
65800;658;624.197;1105.93;1106.92;-0.984554;737.945;1568.14;2212.85
65900;659;625.091;1105.91;1108.04;-21.317;738.693;1570.52;2213.95
66000;660;625.975;1105.94;1107.02;-107.984;73.801;1572.89;2212.95
66100;661;626.928;1105.93;1107.11;-11.839;738.075;1575.27;2213.04
66200;662;627.958;1105.95;1107.52;-157.625;738.348;1577.65;2213.47
66300;663;628.85;1105.93;1106.93;-0.996077;737.952;1580.02;2212.86
66400;664;629.749;1105.9;1109.08;-31.728;739.383;1582.4;2214.98
66500;665;630.675;1105.93;1106.95;-102.015;73.797;1584.77;2212.89
66600;666;631.651;1105.93;1107.29;-136.101;738.191;1587.15;2213.21
